ReportDate,PM,NMV,GMV,PnL,PnL_TB,AUM,NMV_GMV,GMV_pct_GMV 1%-3%,GMV_pct_GMV 3%-5%,GMV_pct_GMV < 1%,GMV_pct_GMV >=5%,GMV_pct_Index,num_pos_GMV 1%-3%,num_pos_GMV 3%-5%,num_pos_GMV < 1%,num_pos_GMV >=5%,num_pos_Index
2/17/2022,AQU,677543.017793,5714580.526593,-15608.618589799999,-14861.3733718,1000000000.0,0.11856391114623897,0.0,0.0,0.005714580526593,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2/17/2022,BLB,14168.683100000924,29350.325900000924,-16862.086730000006,-16862.07189,1000000000.0,0.48274363795055775,0.0,0.0,7.5908214e-06,0.0,2.1759504500000925e-05,0.0,0.0,1.0,0.0,4.0
2/17/2022,BOK,-14034.728469982743,415817020.31753,54662.17961020001,225118.2493943,1000000000.0,-3.375217411558915e-05,0.013291617261000003,0.0434830210299,0.15112685450363,0.0,0.20791552752299997,1.0,1.0,108.0,0.0,2.0
2/17/2022,CAS,-149920099.056665,304735712.237545,232031.85288509983,236483.83428049975,1000000000.0,-0.49196760680218715,0.0220096139952,0.0,0.07427103359164,0.05931974408,0.149135320570705,2.0,0.0,76.0,1.0,10.0
2/17/2022,CXI,6703931.3781,9227730.7859,-601555.2450240001,-601262.3025280001,1000000000.0,0.726498370362476,0.0,0.0,0.0092277307859,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2/17/2022,DOJ,1888470.481,1888470.481,23863.577826000008,23863.577826000008,1000000000.0,1.0,0.0,0.0,0.0,0.0,0.001888470481,0.0,0.0,0.0,0.0,2.0
2/17/2022,DXI,32919453.790999997,115720248.3924,77730.2567783,80721.19126439998,1000000000.0,0.28447444806177935,0.037633290091,0.0,0.0544653401974,0.0,0.023621618104,3.0,0.0,13.0,0.0,4.0
2/17/2022,EFH,35823560.055981,51293610.755759,-367078.118503,-361305.5966437998,1000000000.0,0.6984019944815233,0.0,0.0,0.014955105445759,0.0,0.036338505310000005,0.0,0.0,16.0,0.0,6.0
2/17/2022,EGF,-109035.39211999997,105191151.18176,201077.50870269997,147217.8754138,1000000000.0,-0.0010365452882210358,0.0,0.0,0.09430320849176,0.0,0.01088794269,0.0,0.0,186.0,0.0,1.0
2/17/2022,EWN,-126200.4953033973,106972371.8658714,-110939.59402319997,-101923.83918640002,1000000000.0,-0.0011797485004972621,0.03202652262,0.0,0.0745134899237714,0.0,0.0004323593221,2.0,0.0,116.0,0.0,2.0
